"pokedex_number";"nome";"ataque";"defesa";"vida";"tipo 1";"tipo_2";"geracao";"lendario";"habilidades"
104;"Cubone";50;95;50;"ground";"";1;0;"['Rock Head', 'Lightningrod', 'Battle Armor']"
105;"Marowak";80;110;60;"ground";"fire";1;0;"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"
106;"Hitmonlee";120;53;50;"fighting";"";1;0;"['Limber', 'Reckless', 'Unburden']"
107;"Hitmonchan";105;79;50;"fighting";"";1;0;"['Keen Eye', 'Iron Fist', 'Inner Focus']"
108;"Lickitung";55;75;90;"normal";"";1;0;"['Own Tempo', 'Oblivious', 'Cloud Nine']"
109;"Koffing";65;95;40;"poison";"";1;0;"['Levitate']"
110;"Weezing";90;120;65;"poison";"";1;0;"['Levitate']"
111;"Rhyhorn";85;95;80;"ground";"rock";1;0;"['Lightningrod', 'Rock Head', 'Reckless']"
112;"Rhydon";130;120;105;"ground";"rock";1;0;"['Lightningrod', 'Rock Head', 'Reckless']"
113;"Chansey";5;5;250;"normal";"";1;0;"['Natural Cure', 'Serene Grace', 'Healer']"
114;"Tangela";55;115;65;"grass";"";1;0;"['Chlorophyll', 'Leaf Guard', 'Regenerator']"
115;"Kangaskhan";125;100;105;"normal";"";1;0;"['Early Bird', 'Scrappy', 'Inner Focus']"
116;"Horsea";40;70;30;"water";"";1;0;"['Swift Swim', 'Sniper', 'Damp']"
117;"Seadra";65;95;55;"water";"";1;0;"['Poison Point', 'Sniper', 'Damp']"
118;"Goldeen";67;60;45;"water";"";1;0;"['Swift Swim', 'Water Veil', 'Lightningrod']"
119;"Seaking";92;65;80;"water";"";1;0;"['Swift Swim', 'Water Veil', 'Lightningrod']"
120;"Staryu";45;55;30;"water";"";1;0;"['Illuminate', 'Natural Cure', 'Analytic']"
121;"Starmie";75;85;60;"water";"psychic";1;0;"['Illuminate', 'Natural Cure', 'Analytic']"
122;"Mr. Mime";45;65;40;"psychic";"fairy";1;0;"['Soundproof', 'Filter', 'Technician']"
123;"Scyther";110;80;70;"bug";"flying";1;0;"['Swarm', 'Technician', 'Steadfast']"
124;"Jynx";50;35;65;"ice";"psychic";1;0;"['Oblivious', 'Forewarn', 'Dry Skin']"
125;"Electabuzz";83;57;65;"electric";"";1;0;"['Static', 'Vital Spirit']"
126;"Magmar";95;57;65;"fire";"";1;0;"['Flame Body', 'Vital Spirit']"
127;"Pinsir";155;120;65;"bug";"";1;0;"['Hyper Cutter', 'Mold Breaker', 'Moxie']"
128;"Tauros";100;95;75;"normal";"";1;0;"['Intimidate', 'Anger Point', 'Sheer Force']"
129;"Magikarp";10;55;20;"water";"";1;0;"['Swift Swim', 'Rattled']"
130;"Gyarados";155;109;95;"water";"flying";1;0;"['Intimidate', 'Moxie']"
131;"Lapras";85;80;130;"water";"ice";1;0;"['Water Absorb', 'Shell Armor', 'Hydration']"
132;"Ditto";48;48;48;"normal";"";1;0;"['Limber', 'Imposter']"
133;"Eevee";55;50;55;"normal";"";1;0;"['Run Away', 'Adaptability', 'Anticipation']"
134;"Vaporeon";65;60;130;"water";"";1;0;"['Water Absorb', 'Hydration']"
135;"Jolteon";65;60;65;"electric";"";1;0;"['Volt Absorb', 'Quick Feet']"
136;"Flareon";130;60;65;"fire";"";1;0;"['Flash Fire', 'Guts']"
137;"Porygon";60;70;65;"normal";"";1;0;"['Trace', 'Download', 'Analytic']"
138;"Omanyte";40;100;35;"rock";"water";1;0;"['Swift Swim', 'Shell Armor', 'Weak Armor']"
139;"Omastar";60;125;70;"rock";"water";1;0;"['Swift Swim', 'Shell Armor', 'Weak Armor']"
140;"Kabuto";80;90;30;"rock";"water";1;0;"['Swift Swim', 'Battle Armor', 'Weak Armor']"
141;"Kabutops";115;105;60;"rock";"water";1;0;"['Swift Swim', 'Battle Armor', 'Weak Armor']"
142;"Aerodactyl";135;85;80;"rock";"flying";1;0;"['Rock Head', 'Pressure', 'Unnerve']"
143;"Snorlax";110;65;160;"normal";"";1;0;"['Immunity', 'Thick Fat', 'Gluttony']"
144;"Articuno";85;100;90;"ice";"flying";1;1;"['Pressure', 'Snow Cloak']"
145;"Zapdos";90;85;90;"electric";"flying";1;1;"['Pressure', 'Static']"
146;"Moltres";100;90;90;"fire";"flying";1;1;"['Pressure', 'Flame Body']"
147;"Dratini";64;45;41;"dragon";"";1;0;"['Shed Skin', 'Marvel Scale']"
148;"Dragonair";84;65;61;"dragon";"";1;0;"['Shed Skin', 'Marvel Scale']"
149;"Dragonite";134;95;91;"dragon";"flying";1;0;"['Inner Focus', 'Multiscale']"
150;"Mewtwo";150;70;106;"psychic";"";1;1;"['Pressure', 'Unnerve']"
151;"Mew";100;100;100;"psychic";"";1;1;"['Synchronize']"
152;"Chikorita";49;65;45;"grass";"";2;0;"['Overgrow', 'Leaf Guard']"
153;"Bayleef";62;80;60;"grass";"";2;0;"['Overgrow', 'Leaf Guard']"
154;"Meganium";82;100;80;"grass";"";2;0;"['Overgrow', 'Leaf Guard']"
155;"Cyndaquil";52;43;39;"fire";"";2;0;"['Blaze', 'Flash Fire']"
156;"Quilava";64;58;58;"fire";"";2;0;"['Blaze', 'Flash Fire']"
157;"Typhlosion";84;78;78;"fire";"";2;0;"['Blaze', 'Flash Fire']"
158;"Totodile";65;64;50;"water";"";2;0;"['Torrent', 'Sheer Force']"
159;"Croconaw";80;80;65;"water";"";2;0;"['Torrent', 'Sheer Force']"
160;"Feraligatr";105;100;85;"water";"";2;0;"['Torrent', 'Sheer Force']"
161;"Sentret";46;34;35;"normal";"";2;0;"['Run Away', 'Keen Eye', 'Frisk']"
162;"Furret";76;64;85;"normal";"";2;0;"['Run Away', 'Keen Eye', 'Frisk']"
163;"Hoothoot";30;30;60;"normal";"flying";2;0;"['Insomnia', 'Keen Eye', 'Tinted Lens']"
164;"Noctowl";50;50;100;"normal";"flying";2;0;"['Insomnia', 'Keen Eye', 'Tinted Lens']"
165;"Ledyba";20;30;40;"bug";"flying";2;0;"['Swarm', 'Early Bird', 'Rattled']"
166;"Ledian";35;50;55;"bug";"flying";2;0;"['Swarm', 'Early Bird', 'Iron Fist']"
167;"Spinarak";60;40;40;"bug";"poison";2;0;"['Swarm', 'Insomnia', 'Sniper']"
168;"Ariados";90;70;70;"bug";"poison";2;0;"['Swarm', 'Insomnia', 'Sniper']"
169;"Crobat";90;80;85;"poison";"flying";2;0;"['Inner Focus', 'Infiltrator']"
170;"Chinchou";38;38;75;"water";"electric";2;0;"['Volt Absorb', 'Illuminate', 'Water Absorb']"
171;"Lanturn";58;58;125;"water";"electric";2;0;"['Volt Absorb', 'Illuminate', 'Water Absorb']"
172;"Pichu";40;15;20;"electric";"";2;0;"['Static', 'Lightningrod']"
173;"Cleffa";25;28;50;"fairy";"";2;0;"['Cute Charm', 'Magic Guard', 'Friend Guard']"
174;"Igglybuff";30;15;90;"normal";"fairy";2;0;"['Cute Charm', 'Competitive', 'Friend Guard']"
175;"Togepi";20;65;35;"fairy";"";2;0;"['Hustle', 'Serene Grace', 'Super Luck']"
176;"Togetic";40;85;55;"fairy";"flying";2;0;"['Hustle', 'Serene Grace', 'Super Luck']"
177;"Natu";50;45;40;"psychic";"flying";2;0;"['Synchronize', 'Early Bird', 'Magic Bounce']"
178;"Xatu";75;70;65;"psychic";"flying";2;0;"['Synchronize', 'Early Bird', 'Magic Bounce']"
179;"Mareep";40;40;55;"electric";"";2;0;"['Static', 'Plus']"
180;"Flaaffy";55;55;70;"electric";"";2;0;"['Static', 'Plus']"
181;"Ampharos";95;105;90;"electric";"";2;0;"['Static', 'Plus']"
182;"Bellossom";80;95;75;"grass";"";2;0;"['Chlorophyll', 'Healer']"
183;"Marill";20;50;70;"water";"fairy";2;0;"['Thick Fat', 'Huge Power', 'Sap Sipper']"
184;"Azumarill";50;80;100;"water";"fairy";2;0;"['Thick Fat', 'Huge Power', 'Sap Sipper']"
185;"Sudowoodo";100;115;70;"rock";"";2;0;"['Sturdy', 'Rock Head', 'Rattled']"
186;"Politoed";75;75;90;"water";"";2;0;"['Water Absorb', 'Damp', 'Drizzle']"
187;"Hoppip";35;40;35;"grass";"flying";2;0;"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
188;"Skiploom";45;50;55;"grass";"flying";2;0;"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
189;"Jumpluff";55;70;75;"grass";"flying";2;0;"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"
190;"Aipom";70;55;55;"normal";"";2;0;"['Run Away', 'Pickup', 'Skill Link']"
191;"Sunkern";30;30;30;"grass";"";2;0;"['Chlorophyll', 'Solar Power', 'Early Bird']"
192;"Sunflora";75;55;75;"grass";"";2;0;"['Chlorophyll', 'Solar Power', 'Early Bird']"
193;"Yanma";65;45;65;"bug";"flying";2;0;"['Speed Boost', 'Compoundeyes', 'Frisk']"
194;"Wooper";45;45;55;"water";"ground";2;0;"['Damp', 'Water Absorb', 'Unaware']"
195;"Quagsire";85;85;95;"water";"ground";2;0;"['Damp', 'Water Absorb', 'Unaware']"
196;"Espeon";65;60;65;"psychic";"";2;0;"['Synchronize', 'Magic Bounce']"
197;"Umbreon";65;110;95;"dark";"";2;0;"['Synchronize', 'Inner Focus']"
198;"Murkrow";85;42;60;"dark";"flying";2;0;"['Insomnia', 'Super Luck', 'Prankster']"
199;"Slowking";75;80;95;"water";"psychic";2;0;"['Oblivious', 'Own Tempo', 'Regenerator']"
200;"Misdreavus";60;60;60;"ghost";"";2;0;"['Levitate']"
201;"Unown";72;48;48;"psychic";"";2;0;"['Levitate']"
202;"Wobbuffet";33;58;190;"psychic";"";2;0;"['Shadow Tag', 'Telepathy']"
203;"Girafarig";80;65;70;"normal";"psychic";2;0;"['Inner Focus', 'Early Bird', 'Sap Sipper']"
204;"Pineco";65;90;50;"bug";"";2;0;"['Sturdy', 'Overcoat']"
205;"Forretress";90;140;75;"bug";"steel";2;0;"['Sturdy', 'Overcoat']"
206;"Dunsparce";70;70;100;"normal";"";2;0;"['Serene Grace', 'Run Away', 'Rattled']"
207;"Gligar";75;105;65;"ground";"flying";2;0;"['Hyper Cutter', 'Sand Veil', 'Immunity']"
208;"Steelix";125;230;75;"steel";"ground";2;0;"['Rock Head', 'Sturdy', 'Sheer Force']"
209;"Snubbull";80;50;60;"fairy";"";2;0;"['Intimidate', 'Run Away', 'Rattled']"
210;"Granbull";120;75;90;"fairy";"";2;0;"['Intimidate', 'Quick Feet', 'Rattled']"
211;"Qwilfish";95;85;65;"water";"poison";2;0;"['Poison Point', 'Swift Swim', 'Intimidate']"
212;"Scizor";150;140;70;"bug";"steel";2;0;"['Swarm', 'Technician', 'Light Metal']"
213;"Shuckle";10;230;20;"bug";"rock";2;0;"['Sturdy', 'Gluttony', 'Contrary']"
214;"Heracross";185;115;80;"bug";"fighting";2;0;"['Swarm', 'Guts', 'Moxie']"
215;"Sneasel";95;55;55;"dark";"ice";2;0;"['Inner Focus', 'Keen Eye', 'Pickpocket']"
216;"Teddiursa";80;50;60;"normal";"";2;0;"['Pickup', 'Quick Feet', 'Honey Gather']"
217;"Ursaring";130;75;90;"normal";"";2;0;"['Guts', 'Quick Feet', 'Unnerve']"
218;"Slugma";40;40;40;"fire";"";2;0;"['Magma Armor', 'Flame Body', 'Weak Armor']"
219;"Magcargo";50;120;60;"fire";"rock";2;0;"['Magma Armor', 'Flame Body', 'Weak Armor']"
220;"Swinub";50;40;50;"ice";"ground";2;0;"['Oblivious', 'Snow Cloak', 'Thick Fat']"
221;"Piloswine";100;80;100;"ice";"ground";2;0;"['Oblivious', 'Snow Cloak', 'Thick Fat']"
222;"Corsola";55;95;65;"water";"rock";2;0;"['Hustle', 'Natural Cure', 'Regenerator']"
223;"Remoraid";65;35;35;"water";"";2;0;"['Hustle', 'Sniper', 'Moody']"
224;"Octillery";105;75;75;"water";"";2;0;"['Suction Cups', 'Sniper', 'Moody']"
225;"Delibird";55;45;45;"ice";"flying";2;0;"['Vital Spirit', 'Hustle', 'Insomnia']"
226;"Mantine";40;70;85;"water";"flying";2;0;"['Swift Swim', 'Water Absorb', 'Water Veil']"
227;"Skarmory";80;140;65;"steel";"flying";2;0;"['Keen Eye', 'Sturdy', 'Weak Armor']"
228;"Houndour";60;30;45;"dark";"fire";2;0;"['Early Bird', 'Flash Fire', 'Unnerve']"
229;"Houndoom";90;90;75;"dark";"fire";2;0;"['Early Bird', 'Flash Fire', 'Unnerve']"
230;"Kingdra";95;95;75;"water";"dragon";2;0;"['Swift Swim', 'Sniper', 'Damp']"
231;"Phanpy";60;60;90;"ground";"";2;0;"['Pickup', 'Sand Veil']"
232;"Donphan";120;120;90;"ground";"";2;0;"['Sturdy', 'Sand Veil']"
233;"Porygon2";80;90;85;"normal";"";2;0;"['Trace', 'Download', 'Analytic']"
234;"Stantler";95;62;73;"normal";"";2;0;"['Intimidate', 'Frisk', 'Sap Sipper']"
235;"Smeargle";20;35;55;"normal";"";2;0;"['Own Tempo', 'Technician', 'Moody']"
236;"Tyrogue";35;35;35;"fighting";"";2;0;"['Guts', 'Steadfast', 'Vital Spirit']"
237;"Hitmontop";95;95;50;"fighting";"";2;0;"['Intimidate', 'Technician', 'Steadfast']"
238;"Smoochum";30;15;45;"ice";"psychic";2;0;"['Oblivious', 'Forewarn', 'Hydration']"
239;"Elekid";63;37;45;"electric";"";2;0;"['Static', 'Vital Spirit']"
240;"Magby";75;37;45;"fire";"";2;0;"['Flame Body', 'Vital Spirit']"
241;"Miltank";80;105;95;"normal";"";2;0;"['Thick Fat', 'Scrappy', 'Sap Sipper']"
242;"Blissey";10;10;255;"normal";"";2;0;"['Natural Cure', 'Serene Grace', 'Healer']"
243;"Raikou";85;75;90;"electric";"";2;1;"['Pressure', 'Inner Focus']"
244;"Entei";115;85;115;"fire";"";2;1;"['Pressure', 'Inner Focus']"
245;"Suicune";75;115;100;"water";"";2;1;"['Pressure', 'Inner Focus']"
246;"Larvitar";64;50;50;"rock";"ground";2;0;"['Guts', 'Sand Veil']"
247;"Pupitar";84;70;70;"rock";"ground";2;0;"['Shed Skin']"
248;"Tyranitar";164;150;100;"rock";"dark";2;0;"['Sand Stream', 'Unnerve']"
249;"Lugia";90;130;106;"psychic";"flying";2;1;"['Pressure', 'Multiscale']"
250;"Ho-Oh";130;90;106;"fire";"flying";2;1;"['Pressure', 'Regenerator']"
251;"Celebi";100;100;100;"psychic";"grass";2;1;"['Natural Cure']"
252;"Treecko";45;35;40;"grass";"";3;0;"['Overgrow', 'Unburden']"
253;"Grovyle";65;45;50;"grass";"";3;0;"['Overgrow', 'Unburden']"
254;"Sceptile";110;75;70;"grass";"";3;0;"['Overgrow', 'Unburden']"
255;"Torchic";60;40;45;"fire";"";3;0;"['Blaze', 'Speed Boost']"
256;"Combusken";85;60;60;"fire";"fighting";3;0;"['Blaze', 'Speed Boost']"
257;"Blaziken";160;80;80;"fire";"fighting";3;0;"['Blaze', 'Speed Boost']"
258;"Mudkip";70;50;50;"water";"";3;0;"['Torrent', 'Damp']"
259;"Marshtomp";85;70;70;"water";"ground";3;0;"['Torrent', 'Damp']"
260;"Swampert";150;110;100;"water";"ground";3;0;"['Torrent', 'Damp']"
261;"Poochyena";55;35;35;"dark";"";3;0;"['Run Away', 'Quick Feet', 'Rattled']"
262;"Mightyena";90;70;70;"dark";"";3;0;"['Intimidate', 'Quick Feet', 'Moxie']"
263;"Zigzagoon";30;41;38;"normal";"";3;0;"['Pickup', 'Gluttony', 'Quick Feet']"
264;"Linoone";70;61;78;"normal";"";3;0;"['Pickup', 'Gluttony', 'Quick Feet']"
265;"Wurmple";45;35;45;"bug";"";3;0;"['Shield Dust', 'Run Away']"
266;"Silcoon";35;55;50;"bug";"";3;0;"['Shed Skin']"
267;"Beautifly";70;50;60;"bug";"flying";3;0;"['Swarm', 'Rivalry']"
268;"Cascoon";35;55;50;"bug";"";3;0;"['Shed Skin']"
269;"Dustox";50;70;60;"bug";"poison";3;0;"['Shield Dust', 'Compoundeyes']"
270;"Lotad";30;30;40;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
271;"Lombre";50;50;60;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
272;"Ludicolo";70;70;80;"water";"grass";3;0;"['Swift Swim', 'Rain Dish', 'Own Tempo']"
273;"Seedot";40;50;40;"grass";"";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
274;"Nuzleaf";70;40;70;"grass";"dark";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
275;"Shiftry";100;60;90;"grass";"dark";3;0;"['Chlorophyll', 'Early Bird', 'Pickpocket']"
276;"Taillow";55;30;40;"normal";"flying";3;0;"['Guts', 'Scrappy']"
